group,lang,path,label,bodyWords,proseWords,proseChars,sentences,uniqueSentences,dupSentenceRatio,faqDetails,faqLd,nnMasked,nnRaw,nnPath,templateShare50,templateShare10,templateSentShare,vsReuseFromTld
tld,en,/tld/builders,.builders,2245,575,3255,50,39,0.22,3,3,0.225,0.133,/tld/engineering,0.254,0.301,0.385,
tld,zh,/tld/builders,.builders,2676,998,1513,47,38,0.191,3,3,0.269,0.182,/tld/properties,0.319,0.363,0.421,
tld,en,/tld/business,.business,2269,599,3163,50,39,0.22,3,3,0.184,0.12,/tld/shop,0.254,0.278,0.385,
tld,zh,/tld/business,.business,2626,948,1483,45,37,0.178,3,3,0.226,0.162,/tld/ltd,0.317,0.35,0.432,
tld,en,/tld/buzz,.buzz,2339,671,3536,51,40,0.216,3,3,0.276,0.152,/tld/bond,0.228,0.271,0.35,
tld,zh,/tld/buzz,.buzz,2782,1108,1611,44,36,0.182,3,3,0.302,0.193,/tld/bond,0.279,0.327,0.417,
tld,en,/tld/ca,.ca,2257,589,3340,45,36,0.2,3,3,0.182,0.129,/tld/au,0.226,0.265,0.361,
tld,zh,/tld/ca,.ca,2726,1052,1430,44,36,0.182,3,3,0.272,0.191,/tld/au,0.251,0.323,0.417,
tld,en,/tld/cafe,.cafe,2293,601,3003,42,35,0.167,3,3,0.177,0.115,/tld/art,0.253,0.285,0.429,
tld,zh,/tld/cafe,.cafe,2626,924,1411,43,36,0.163,3,3,0.237,0.162,/tld/pizza,0.323,0.362,0.444,
tld,en,/tld/camera,.camera,2217,549,3047,49,39,0.204,3,3,0.211,0.127,/tld/diamonds,0.274,0.306,0.359,
tld,zh,/tld/camera,.camera,2574,900,1515,46,37,0.196,3,3,0.266,0.17,/tld/diamonds,0.342,0.382,0.405,
tld,en,/tld/camp,.camp,2233,565,3073,47,37,0.213,3,3,0.216,0.123,/tld/villas,0.261,0.276,0.378,
tld,zh,/tld/camp,.camp,2620,946,1495,46,37,0.196,3,3,0.246,0.156,/tld/villas,0.314,0.336,0.405,
tld,en,/tld/capital,.capital,2240,569,3047,47,37,0.213,3,3,0.236,0.138,/tld/partners,0.264,0.298,0.378,
tld,zh,/tld/capital,.capital,2631,954,1482,44,36,0.182,3,3,0.287,0.205,/tld/partners,0.33,0.367,0.417,
tld,en,/tld/care,.care,2208,521,2950,48,38,0.208,3,3,0.219,0.127,/tld/clinic,0.276,0.324,0.395,
tld,zh,/tld/care,.care,2634,936,1353,47,38,0.191,3,3,0.25,0.176,/tld/clinic,0.309,0.352,0.421,
tld,en,/tld/careers,.careers,2261,591,3352,48,39,0.188,3,3,0.19,0.11,/tld/lighting,0.251,0.281,0.385,
tld,zh,/tld/careers,.careers,2656,976,1507,43,36,0.163,3,3,0.265,0.194,/tld/contractors,0.323,0.369,0.444,
tld,en,/tld/casa,.casa,2355,685,3770,48,39,0.188,3,3,0.192,0.119,/tld/moda,0.224,0.263,0.385,
tld,zh,/tld/casa,.casa,2770,1092,1654,45,37,0.178,3,3,0.271,0.179,/tld/moda,0.282,0.339,0.432,
tld,en,/tld/cash,.cash,2195,527,2915,43,35,0.186,3,3,0.185,0.118,/tld/ventures,0.274,0.303,0.4,
tld,zh,/tld/cash,.cash,2550,876,1283,44,36,0.182,3,3,0.219,0.161,/tld/shoes,0.334,0.357,0.417,
tld,en,/tld/casino,.casino,2293,619,3431,48,38,0.208,3,3,0.194,0.124,/tld/clothing,0.244,0.276,0.395,
tld,zh,/tld/casino,.casino,2681,998,1513,45,37,0.178,3,3,0.296,0.194,/tld/clothing,0.321,0.394,0.432,
tld,en,/tld/catering,.catering,2241,573,3202,45,36,0.2,3,3,0.198,0.122,/tld/review,0.258,0.276,0.389,
tld,zh,/tld/catering,.catering,2592,918,1468,42,35,0.167,3,3,0.287,0.22,/tld/cleaning,0.329,0.366,0.429,
tld,en,/tld/cc,.cc,2153,479,2397,39,33,0.154,3,3,0.186,0.118,/tld/gg,0.297,0.297,0.424,
tld,zh,/tld/cc,.cc,2486,806,1062,40,34,0.15,3,3,0.224,0.156,/tld/vip,0.33,0.334,0.441,
tld,en,/tld/center,.center,2174,497,2967,40,34,0.15,3,3,0.196,0.135,/tld/zone,0.282,0.298,0.441,
tld,zh,/tld/center,.center,2555,866,1281,43,36,0.163,3,3,0.22,0.154,/tld/zone,0.31,0.323,0.444,
tld,en,/tld/ch,.ch,2321,653,3670,47,37,0.213,3,3,0.324,0.23,/tld/pt,0.213,0.287,0.351,
tld,zh,/tld/ch,.ch,2782,1108,1476,48,38,0.208,3,3,0.385,0.289,/tld/pt,0.257,0.411,0.395,
tld,en,/tld/chat,.chat,2187,519,2846,45,36,0.2,3,3,0.173,0.115,/tld/dev,0.277,0.281,0.389,
