group,lang,pathA,pathB,jaccardMasked,jaccardRaw
vs,en,/vs/ar-vs-cl,/vs/cl-vs-mx,0.232,0.233
vs,en,/vs/academy-vs-coach,/vs/fitness-vs-coach,0.223,0.193
vs,en,/vs/info-vs-org,/vs/net-vs-org,0.222,0.203
vs,en,/vs/day-vs-life,/vs/day-vs-today,0.22,0.206
vs,en,/vs/co-vs-me,/vs/com-vs-me,0.218,0.221
vs,en,/vs/com-vs-org,/vs/info-vs-org,0.215,0.208
vs,en,/vs/club-vs-gg,/vs/gg-vs-tv,0.213,0.185
vs,en,/vs/ro-vs-pl,/vs/ua-vs-pl,0.213,0.286
vs,en,/vs/br-vs-mx,/vs/br-vs-pt,0.213,0.199
vs,en,/vs/br-vs-mx,/vs/cl-vs-mx,0.211,0.216
