group,lang,path,label,bodyWords,proseWords,proseChars,sentences,uniqueSentences,dupSentenceRatio,faqDetails,faqLd,nnMasked,nnRaw,nnPath,templateShare50,templateShare10,templateSentShare,vsReuseFromTld
tld,en,/tld/clothing,.clothing,575,422,2357,36,36,0,3,3,0.267,0.149,/tld/singles,0.268,0.322,0.444,
tld,zh,/tld/clothing,.clothing,826,659,1095,35,35,0,3,3,0.357,0.223,/tld/singles,0.334,0.404,0.486,
tld,en,/tld/cloud,.cloud,479,335,1770,32,32,0,3,3,0.206,0.126,/tld/social,0.333,0.34,0.469,
tld,zh,/tld/cloud,.cloud,697,541,783,33,33,0,3,3,0.233,0.173,/tld/club,0.37,0.374,0.485,
tld,en,/tld/club,.club,520,337,1779,34,34,0,3,3,0.21,0.135,/tld/studio,0.322,0.339,0.471,
tld,zh,/tld/club,.club,752,549,752,35,35,0,3,3,0.249,0.176,/tld/vip,0.367,0.384,0.486,
tld,en,/tld/cn,.cn,447,338,1824,32,32,0,3,3,0.205,0.128,/tld/art,0.315,0.331,0.5,
tld,zh,/tld/cn,.cn,729,601,758,34,34,0,3,3,0.232,0.168,/tld/vip,0.345,0.361,0.5,
tld,en,/tld/co,.co,485,339,1725,36,36,0,3,3,0.198,0.128,/tld/art,0.313,0.326,0.417,
tld,zh,/tld/co,.co,727,561,762,33,33,0,3,3,0.23,0.169,/tld/space,0.331,0.352,0.515,
tld,en,/tld/coach,.coach,563,382,2046,37,37,0,3,3,0.192,0.121,/tld/art,0.284,0.304,0.432,
tld,zh,/tld/coach,.coach,834,632,924,37,37,0,3,3,0.226,0.168,/tld/pet,0.316,0.352,0.459,
tld,en,/tld/codes,.codes,523,386,2152,36,36,0,3,3,0.186,0.118,/tld/space,0.272,0.286,0.444,
tld,zh,/tld/codes,.codes,803,652,941,36,36,0,3,3,0.22,0.159,/tld/zone,0.313,0.325,0.472,
tld,en,/tld/coffee,.coffee,564,401,2074,40,40,0,3,3,0.202,0.122,/tld/photography,0.275,0.305,0.375,
tld,zh,/tld/coffee,.coffee,835,660,985,36,36,0,3,3,0.261,0.178,/tld/photography,0.326,0.374,0.444,
tld,en,/tld/college,.college,603,440,2613,37,37,0,3,3,0.256,0.144,/tld/university,0.254,0.301,0.405,
tld,zh,/tld/college,.college,895,720,1132,34,34,0,3,3,0.31,0.219,/tld/university,0.303,0.353,0.471,
tld,en,/tld/com,.com,482,335,1747,35,35,0,3,3,0.198,0.129,/tld/art,0.311,0.324,0.429,
tld,zh,/tld/com,.com,776,612,771,32,32,0,3,3,0.228,0.168,/tld/cn,0.33,0.346,0.531,
tld,en,/tld/community,.community,549,390,2164,37,37,0,3,3,0.207,0.126,/tld/education,0.278,0.323,0.432,
tld,zh,/tld/community,.community,818,645,1005,36,36,0,3,3,0.272,0.184,/tld/market,0.343,0.404,0.472,
tld,en,/tld/company,.company,526,357,1917,32,32,0,3,3,0.192,0.124,/tld/fun,0.304,0.311,0.469,
tld,zh,/tld/company,.company,791,610,963,34,34,0,3,3,0.233,0.171,/tld/ltd,0.339,0.342,0.471,
tld,en,/tld/computer,.computer,547,412,2287,35,35,0,3,3,0.207,0.116,/tld/mortgage,0.283,0.321,0.429,
tld,zh,/tld/computer,.computer,801,654,1050,33,33,0,3,3,0.288,0.182,/tld/mortgage,0.356,0.397,0.485,
tld,en,/tld/condos,.condos,584,449,2489,38,38,0,3,3,0.269,0.168,/tld/graphics,0.255,0.314,0.395,
tld,zh,/tld/condos,.condos,835,688,1071,34,34,0,3,3,0.356,0.235,/tld/domains,0.324,0.387,0.471,
tld,en,/tld/construction,.construction,574,403,2343,37,37,0,3,3,0.238,0.151,/tld/apartments,0.272,0.317,0.432,
tld,zh,/tld/construction,.construction,838,648,1097,35,35,0,3,3,0.294,0.198,/tld/apartments,0.346,0.394,0.486,
tld,en,/tld/consulting,.consulting,552,384,2186,37,37,0,3,3,0.242,0.136,/tld/marketing,0.282,0.329,0.432,
tld,zh,/tld/consulting,.consulting,811,629,1051,36,36,0,3,3,0.278,0.214,/tld/marketing,0.347,0.397,0.472,
tld,en,/tld/contractors,.contractors,561,394,2353,37,37,0,3,3,0.27,0.155,/tld/management,0.289,0.327,0.432,
tld,zh,/tld/contractors,.contractors,835,646,1110,34,34,0,3,3,0.348,0.223,/tld/equipment,0.358,0.405,0.5,
tld,en,/tld/cooking,.cooking,582,417,2286,36,36,0,3,3,0.263,0.197,/tld/fishing,0.271,0.315,0.444,
tld,zh,/tld/cooking,.cooking,821,642,1001,34,34,0,3,3,0.328,0.28,/tld/fishing,0.318,0.371,0.5,
tld,en,/tld/cool,.cool,493,362,2012,34,34,0,3,3,0.19,0.122,/tld/art,0.287,0.298,0.471,
tld,zh,/tld/cool,.cool,781,635,924,36,36,0,3,3,0.24,0.176,/tld/today,0.334,0.36,0.472,
tld,en,/tld/coupons,.coupons,567,404,2268,35,35,0,3,3,0.244,0.133,/tld/parts,0.273,0.298,0.429,
tld,zh,/tld/coupons,.coupons,814,639,994,33,33,0,3,3,0.338,0.216,/tld/parts,0.35,0.381,0.485,
tld,en,/tld/courses,.courses,579,410,2353,36,36,0,3,3,0.238,0.177,/tld/study,0.273,0.298,0.417,
tld,zh,/tld/courses,.courses,841,660,1044,33,33,0,3,3,0.345,0.262,/tld/study,0.331,0.36,0.485,
tld,en,/tld/credit,.credit,539,404,2222,36,36,0,3,3,0.257,0.138,/tld/loans,0.288,0.326,0.417,
tld,zh,/tld/credit,.credit,813,666,1063,34,34,0,3,3,0.312,0.201,/tld/loans,0.342,0.382,0.471,
tld,en,/tld/cricket,.cricket,601,436,2376,38,38,0,3,3,0.37,0.205,/tld/basketball,0.256,0.295,0.421,
tld,zh,/tld/cricket,.cricket,862,683,1049,35,35,0,3,3,0.391,0.263,/tld/basketball,0.298,0.33,0.486,
tld,en,/tld/cruises,.cruises,566,401,2235,36,36,0,3,3,0.247,0.138,/tld/clothing,0.281,0.324,0.444,
tld,zh,/tld/cruises,.cruises,840,660,1030,36,36,0,3,3,0.313,0.193,/tld/clothing,0.334,0.38,0.472,
tld,en,/tld/cyou,.cyou,581,454,2327,37,37,0,3,3,0.194,0.144,/tld/bond,0.254,0.285,0.405,
tld,zh,/tld/cyou,.cyou,846,707,1017,34,34,0,3,3,0.257,0.182,/tld/bond,0.319,0.361,0.471,
tld,en,/tld/cz,.cz,604,435,2413,37,37,0,3,3,0.359,0.219,/tld/sk,0.244,0.314,0.405,
tld,zh,/tld/cz,.cz,910,729,971,38,38,0,3,3,0.43,0.319,/tld/sk,0.272,0.456,0.421,
tld,en,/tld/dad,.dad,573,410,2093,37,37,0,3,3,0.236,0.132,/tld/mom,0.267,0.289,0.405,
tld,zh,/tld/dad,.dad,826,651,900,35,35,0,3,3,0.26,0.167,/tld/mom,0.323,0.356,0.457,
tld,en,/tld/dance,.dance,598,434,2375,40,40,0,3,3,0.233,0.137,/tld/soccer,0.255,0.294,0.4,
tld,zh,/tld/dance,.dance,872,694,991,36,36,0,3,3,0.302,0.189,/tld/soccer,0.336,0.377,0.472,
tld,en,/tld/dating,.dating,593,425,2389,37,37,0,3,3,0.224,0.128,/tld/clothing,0.265,0.31,0.432,
tld,zh,/tld/dating,.dating,845,664,1008,35,35,0,3,3,0.294,0.215,/tld/clothing,0.341,0.4,0.486,
tld,en,/tld/day,.day,583,453,2379,37,37,0,3,3,0.22,0.162,/tld/meme,0.25,0.29,0.405,
tld,zh,/tld/day,.day,847,705,1063,34,34,0,3,3,0.314,0.234,/tld/meme,0.291,0.327,0.471,
tld,en,/tld/de,.de,591,413,2256,36,36,0,3,3,0.167,0.135,/tld/uk,0.185,0.213,0.278,
tld,zh,/tld/de,.de,910,720,1013,35,35,0,3,3,0.303,0.218,/tld/uk,0.262,0.343,0.457,
tld,en,/tld/deals,.deals,572,403,2213,36,36,0,3,3,0.267,0.181,/tld/auction,0.273,0.309,0.444,
tld,zh,/tld/deals,.deals,841,658,956,34,34,0,3,3,0.34,0.264,/tld/discount,0.34,0.384,0.5,
tld,en,/tld/degree,.degree,555,392,2331,36,36,0,3,3,0.206,0.12,/tld/church,0.291,0.321,0.417,
tld,zh,/tld/degree,.degree,810,635,1009,33,33,0,3,3,0.26,0.166,/tld/jewelry,0.346,0.39,0.485,
tld,en,/tld/delivery,.delivery,555,392,2237,36,36,0,3,3,0.207,0.13,/tld/rent,0.274,0.31,0.417,
tld,zh,/tld/delivery,.delivery,814,639,1026,34,34,0,3,3,0.298,0.178,/tld/rent,0.354,0.396,0.471,
tld,en,/tld/dental,.dental,532,366,2046,34,34,0,3,3,0.191,0.116,/tld/space,0.296,0.296,0.441,
tld,zh,/tld/dental,.dental,832,654,972,34,34,0,3,3,0.222,0.183,/tld/catering,0.318,0.342,0.471,
tld,en,/tld/dentist,.dentist,567,403,2305,36,36,0,3,3,0.273,0.16,/tld/attorney,0.271,0.329,0.444,
tld,zh,/tld/dentist,.dentist,832,653,1004,34,34,0,3,3,0.357,0.227,/tld/attorney,0.336,0.405,0.5,
tld,en,/tld/design,.design,492,331,1844,32,32,0,3,3,0.211,0.132,/tld/art,0.326,0.346,0.5,
tld,zh,/tld/design,.design,729,548,763,34,34,0,3,3,0.263,0.181,/tld/studio,0.367,0.384,0.5,
tld,en,/tld/dev,.dev,484,329,1783,36,36,0,3,3,0.204,0.128,/tld/art,0.319,0.332,0.444,
tld,zh,/tld/dev,.dev,732,558,826,35,35,0,3,3,0.236,0.17,/tld/app,0.326,0.342,0.486,
tld,en,/tld/diamonds,.diamonds,535,372,2130,36,36,0,3,3,0.231,0.131,/tld/cruises,0.3,0.333,0.417,
tld,zh,/tld/diamonds,.diamonds,804,629,1016,36,36,0,3,3,0.302,0.19,/tld/clothing,0.345,0.393,0.444,
tld,en,/tld/digital,.digital,470,335,1938,33,33,0,3,3,0.222,0.153,/tld/life,0.328,0.334,0.455,
tld,zh,/tld/digital,.digital,735,588,898,34,34,0,3,3,0.24,0.179,/tld/life,0.345,0.352,0.471,
tld,en,/tld/directory,.directory,540,380,2076,35,35,0,3,3,0.216,0.125,/tld/marketing,0.272,0.309,0.4,
