path,lang,bodyWords,proseWords,linkShare
/vs/fyi-vs-info,en,688,530,0.2297
/vs/fyi-vs-info,zh,1064,857,0.1945
/vs/gallery-vs-art,en,648,502,0.2253
/vs/gallery-vs-art,zh,1008,808,0.1984
/vs/games-vs-gg,en,859,693,0.1932
/vs/games-vs-gg,zh,1272,1051,0.1737
/vs/garden-vs-farm,en,673,515,0.2348
/vs/garden-vs-farm,zh,1068,858,0.1966
/vs/ge-vs-tr,en,701,548,0.2183
/vs/ge-vs-tr,zh,1119,918,0.1796
/vs/gg-vs-tv,en,728,561,0.2294
/vs/gg-vs-tv,zh,1128,909,0.1941
/vs/gift-vs-gifts,en,735,586,0.2027
/vs/gift-vs-gifts,zh,1107,909,0.1789
/vs/gifts-vs-shop,en,697,529,0.2410
/vs/gifts-vs-shop,zh,1038,818,0.2119
/vs/glass-vs-art,en,800,641,0.1987
/vs/glass-vs-art,zh,1293,1083,0.1624
/vs/global-vs-world,en,853,691,0.1899
/vs/global-vs-world,zh,1336,1122,0.1602
/vs/gmbh-vs-company,en,845,697,0.1751
/vs/gmbh-vs-company,zh,1315,1123,0.1460
/vs/gold-vs-vip,en,837,669,0.2007
/vs/gold-vs-vip,zh,1314,1098,0.1644
/vs/golf-vs-club,en,703,538,0.2347
/vs/golf-vs-club,zh,1068,851,0.2032
/vs/golf-vs-travel,en,718,553,0.2298
/vs/golf-vs-travel,zh,1136,921,0.1893
/vs/gr-vs-tr,en,727,574,0.2105
/vs/gr-vs-tr,zh,1220,1019,0.1648
/vs/graphics-vs-design,en,762,628,0.1759
/vs/graphics-vs-design,zh,1239,1053,0.1501
/vs/green-vs-eco,en,686,532,0.2245
/vs/green-vs-eco,zh,1104,896,0.1884
/vs/group-vs-agency,en,859,695,0.1909
/vs/group-vs-agency,zh,1340,1128,0.1582
/vs/guide-vs-tips,en,676,526,0.2219
/vs/guide-vs-tips,zh,1078,879,0.1846
/vs/guru-vs-expert,en,653,497,0.2389
/vs/guru-vs-expert,zh,1000,798,0.2020
/vs/hair-vs-salon,en,732,577,0.2117
/vs/hair-vs-salon,zh,1142,939,0.1778
/vs/health-vs-care,en,727,558,0.2325
/vs/health-vs-care,zh,1152,931,0.1918
/vs/health-vs-life,en,714,546,0.2353
/vs/health-vs-life,zh,1132,911,0.1952
/vs/healthcare-vs-health,en,819,665,0.1880
/vs/healthcare-vs-health,zh,1332,1127,0.1539
/vs/help-vs-support,en,732,585,0.2008
/vs/help-vs-support,zh,1116,923,0.1729
/vs/hk-vs-sg,en,812,653,0.1958
/vs/hk-vs-sg,zh,1204,997,0.1719
/vs/hockey-vs-team,en,710,551,0.2239
/vs/hockey-vs-team,zh,1099,884,0.1956
/vs/holdings-vs-group,en,698,545,0.2192
/vs/holdings-vs-group,zh,1131,932,0.1760
/vs/homes-vs-house,en,736,578,0.2147
/vs/homes-vs-house,zh,1154,946,0.1802
